name,id,parent_id
3DPrinterIndustryEfficiency,1711701820,3549092084
3DPrinterIndustryEfficiencyHandling,62165403,3549092084
3DPrinterIndustryProficiency,3568926038,3549092084
Adjunct,397174687,4138123813
Adjunct_05,1894947006,397174687
AdjunctTipLarge,3292462663,397174687
AdjunctTipMedium,3695530525,397174687
AdjunctTipSmall,2429336341,397174687
AdjunctTop_01,3337817677,187402365
AdjunctTop_02,3337817674,187402365
AdjunctTop_03,3337817675,187402365
AdjusterLarge,2818864930,2560786625
AdjusterLarge2,1632769809,2560786625
AdjusterLarge3,1632769814,2560786625
AdjusterLarge4,1632769815,2560786625
AdjusterLarge5,1632769812,2560786625
AdjusterMedium,3790013467,2560786625
AdjusterMedium2,2979349930,2560786625
AdjusterMedium3,2979349929,2560786625
AdjusterMedium4,2979349928,2560786625
AdjusterMedium5,2979349935,2560786625
AdjusterSmall,47474508,2560786625
AdjusterSmall2,1456603634,2560786625
AdjusterSmall3,1456603635,2560786625
AdjusterSmall4,1456603532,2560786625
AdjusterSmall5,1456603533,2560786625
AdjusterXtraSmall,2648523849,2560786625
AdjusterXtraSmall2,2703399284,2560786625
AdjusterXtraSmall3,2703399287,2560786625
AdjusterXtraSmall4,2703399286,2560786625
AdjusterXtraSmall5,2703399177,2560786625
Adjustor,2560786625,142469171
AdjustorHandling,1529204900,3549092084
AdjustorThrustControl,985166846,3549092084
AdminDispenser,1947803569,3094406416
AdminElevator,3542588829,803307411
AdminInfoButton,2209413252,1856927639
AdminScreenSignUnit,2446939566,77420865
AdvancedAmmoEfficiency,2275852268,3549092084
AdvancedAmmoProductivity,3614055529,754943677
AdvancedCombatElementHealthpointHandling,1720260669,3549092084
AdvancedCombatElementIndustryEfficiency,528516964,3549092084
AdvancedComplexPartExpertise,2138583119,3549092084
AdvancedCoreUnitUpgrades,2971302602,3549092084
AdvancedElementHealthpointHandling,2269032209,3549092084
AdvancedElementHealthpointsHandling,11008138,754943677
AdvancedExceptionalPartExpertise,2814477465,3549092084
AdvancedExtraSmallAmmoProductivity,4265056808,3549092084
AdvancedFunctionalPartExpertise,2642782347,3549092084
AdvancedFurnitureandApplianceElementIndustryEfficiency,4085632076,3549092084
AdvancedFurnituresandAppliancesElementHealthpointHandling,2082561670,3549092084
AdvancedGlassProduct,1942154251,2248033305
AdvancedGlassProductProductivity,923445990,3549092084
AdvancedGlassProductRefining,542843422,3549092084
AdvancedIndustryandInfrastructureElementHealthpointHandling,2694981328,3549092084
AdvancedIndustryandInfrastructureElementIndustryEfficiency,4091536024,3549092084
AdvancedIntermediaryPartExpertise,4147857977,3549092084
AdvancedIntermediaryPartProductivity,1402100190,3549092084
AdvancedLargeAmmoProductivity,2533565669,3549092084
AdvancedMediumAmmoProductivity,4098761348,3549092084
AdvancedMining,4216482619,3549092084
AdvancedNanocrafterEfficiency,3373367623,3549092084
AdvancedOreRefining,2069629930,754943677
AdvancedOrganizationConstructManagementSpecialization,850778558,3549092084
AdvancedOrganizationConstructSlotOptimization,2768409602,3549092084
AdvancedPilotingElementHealthpointHandling,2881184721,3549092084
AdvancedPilotingElementIndustryEfficiency,229533513,3549092084
AdvancedProductHoneycombEfficiency,3635037227,3549092084
AdvancedProductHoneycombProductivity,3042984134,754943677
AdvancedProductHoneycombRefining,3843596574,754943677
AdvancedProductProductivity,3840888657,754943677
AdvancedProductRefinery,1254713718,3549092084
AdvancedProductRefining,1254798847,754943677
AdvancedPureHoneycombEfficiency,260261857,3549092084
AdvancedPureHoneycombProductivity,1867155696,754943677
AdvancedPureHoneycombRefining,1889830566,754943677
AdvancedPureMaterial,1778956297,1161217162
AdvancedPureProductivity,3273167110,754943677
AdvancedRefinery,1455387157,3549092084
